"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "MIZUHO" "Hyper Misao" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka-Oneesan"
"1" "The First Meeting" 2013-01-30 1510 1490 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "The Second Meeting" 2013-03-25 1519.42498872215 1480.57501127785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "The Third Meeting" 2013-04-26 1519.42498872215 1471.13352556695 1509.44148571089 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "The Fourth Meeting" 2013-06-06 1529.13771946785 1471.96246297616 1499.7287549652 1499.17106259079 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "The Fifth Meeting" 2013-07-11 1538.27734220765 1462.75994402482 1508.93127391653 1490.031439851 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "The Sixth Meeting" 2013-10-18 1546.13737126746 1454.89991496501 1518.38782890418 1480.57488486335 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "Raising An Army" 2013-12-01 1555.34036924762 1466.19075755393 1509.18483092401 1480.57488486335 1488.70915741108 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "Tokyo Circuit 2014 Round 1" 2014-01-18 1562.8293062976 1458.70182050396 1509.18483092401 1490.80896527945 1478.47507699499 1510 1490 NA NA NA NA NA NA NA NA NA NA NA
"9" "Shibuya Entertainment Fight 1" 2014-01-28 1570.76328270163 1450.16766447451 1509.18483092401 1501.07344283185 1478.47507699499 1518.53415602944 1482.06602359596 1489.7355224476 NA NA NA NA NA NA NA NA NA NA
"10" "Tokyo Circuit 2014 Round 2" 2014-02-15 1578.47249839256 1450.16766447451 1518.30322787452 1501.07344283185 1469.35668004448 1518.53415602944 1482.06602359596 1482.02630675667 NA NA NA NA NA NA NA NA NA NA
"11" "Shibuya Entertainment Fight 2" 2014-02-27 1585.76678546891 1442.10400375697 1526.36688859207 1501.07344283185 1469.35668004448 1518.53415602944 1474.77173651961 1482.02630675667 NA NA NA NA NA NA NA NA NA NA
"12" "Tokyo Circuit 2014 Round 3" 2014-03-15 1585.76678546891 1453.75512973995 1534.89268177477 1501.07344283185 1469.35668004448 1518.53415602944 1466.24594333691 1482.02630675667 1488.34887401701 NA NA NA NA NA NA NA NA NA
"13" "Kawasaki First March" 2014-04-05 1573.85547283621 1464.74754033569 1534.89268177477 1501.07344283185 1469.35668004448 1530.44546866214 1457.21441811303 1482.02630675667 1477.35646342128 1509.03152522388 NA NA NA NA NA NA NA NA
"14" "Tokyo Circuit 2014 Round 4" 2014-04-26 1581.14729171156 1475.24445360612 1534.89268177477 1501.07344283185 1469.35668004448 1530.44546866214 1457.21441811303 1471.52939348625 1470.06464454592 1509.03152522388 NA NA NA NA NA NA NA NA
"15" "Tokyo Circuit 2014 Round 5" 2014-05-24 1581.14729171156 1475.24445360612 1544.76468768226 1510.18330014111 1469.35668004448 1520.57346275465 1457.21441811303 1471.52939348625 1460.95478723666 1509.03152522388 NA NA NA NA NA NA NA NA
"16" "Shibuya Entertainment Fight 3" 2014-06-04 1577.81957515063 1474.7259728174 1554.06953128002 1519.89028510433 1469.35668004448 1511.26861915689 1457.73289890176 1471.52939348625 1464.28250379759 1509.03152522388 1490.29301503679 NA NA NA NA NA NA NA
"17" "Tokyo Circuit 2014 Round 6" 2014-06-22 1584.66327645751 1464.2372624674 1554.06953128002 1519.89028510433 1469.35668004448 1511.26861915689 1468.22160925175 1471.52939348625 1457.43880249071 1509.03152522388 1490.29301503679 NA NA NA NA NA NA NA
"18" "Ririko Kendo Aid" 2014-07-11 1592.01196556571 1464.2372624674 1561.3578373829 1519.89028510433 1469.35668004448 1511.26861915689 1468.22160925175 1471.52939348625 1450.15049638783 1509.03152522388 1482.94432592859 NA NA NA NA NA NA NA
"19" "Tokyo Circuit 2014 Round 7" 2014-07-19 1592.01196556571 1464.2372624674 1549.92605967711 1529.31842129102 1469.35668004448 1522.70039686268 1468.22160925175 1471.52939348625 1450.15049638783 1509.03152522388 1482.94432592859 1490.5718638133 NA NA NA NA NA NA
"20" "Natsu Dakara! Shin-Kiba!" 2014-08-02 1580.22683357843 1456.65476510522 1557.50855703929 1519.12796227055 1469.35668004448 1532.89085588315 1459.77690891055 1471.52939348625 1450.15049638783 1509.03152522388 1482.94432592859 1490.5718638133 NA NA NA NA NA NA
"21" "Tokyo Circuit 2014 Round 8" 2014-08-30 1580.22683357843 1456.65476510522 1557.50855703929 1519.12796227055 1469.35668004448 1532.89085588315 1459.77690891055 1471.52939348625 1441.30869598032 1509.03152522388 1482.94432592859 1499.41366422081 NA NA NA NA NA NA
"22" "Kyushu First Charge! Miyu Yamashita Triumph Local Box Office" 2014-09-06 1580.22683357843 1466.74462520872 1565.85186294744 1519.12796227055 1469.35668004448 1532.89085588315 1449.68704880705 1471.52939348625 1441.30869598032 1509.03152522388 1482.94432592859 1491.07035831266 NA NA NA NA NA NA
"23" "Tokyo Circuit 2014 Round 9" 2014-09-27 1580.22683357843 1477.44363425509 1552.6276298835 1519.12796227055 1469.35668004448 1532.89085588315 1462.91128187099 1471.52939348625 1441.30869598032 1509.03152522388 1482.94432592859 1480.37134926629 NA NA NA NA NA NA
"24" "Oyaketsu Festa 2014" 2014-10-12 1580.22683357843 1488.63768190401 1552.6276298835 1507.93391462164 1469.35668004448 1532.89085588315 1462.91128187099 1471.52939348625 1441.30869598032 1509.03152522388 1482.94432592859 1480.37134926629 NA NA NA NA NA NA
"25" "Yokohama First Charge!" 2014-11-03 1587.65009929251 1481.21441618993 1560.10128976393 1497.96550628917 1469.35668004448 1541.39063247289 1455.43762199056 1471.52939348625 1432.501361947 1518.99993355634 1491.75165996191 1471.87157267655 NA NA NA NA NA NA
"26" "Tokyo Circuit 2014 Round 10" 2014-11-22 1587.65009929251 1471.69617808514 1560.10128976393 1507.48374439396 1469.35668004448 1541.39063247289 1455.43762199056 1471.52939348625 1432.501361947 1518.99993355634 1491.75165996191 1471.87157267655 NA NA NA NA NA NA
"27" "Tokyo Circuit 2014 Final Round" 2014-12-28 1594.9579436678 1471.69617808514 1560.10128976393 1507.48374439396 1469.35668004448 1541.39063247289 1455.43762199056 1471.52939348625 1432.501361947 1518.99993355634 1484.44381558661 1471.87157267655 NA NA NA NA NA NA
"28" "The Girls Battle 2015 Round 1" 2015-01-10 1601.55636489048 1480.57282201505 1560.10128976393 1507.48374439396 1469.35668004448 1541.39063247289 1455.43762199056 1471.52939348625 1423.62471801709 1518.99993355634 1484.44381558661 1465.27315145387 NA NA NA NA NA NA
"29" "The Girls Battle 2015 Round 2" 2015-02-08 1601.55636489048 1480.57282201505 1560.10128976393 1515.11589163549 1469.35668004448 1541.39063247289 1445.72063568668 1471.52939348625 1415.99257077556 1518.99993355634 1484.44381558661 1474.99013775775 NA NA NA NA NA NA
"30" "Shinjuku Dash" 2015-02-28 1609.84176101266 1480.57282201505 1560.10128976393 1523.14467954095 1469.35668004448 1533.10523635071 1437.69184778123 1471.52939348625 1427.93765388571 1527.73996152351 1472.49873247646 1466.25010979058 NA NA NA NA NA NA
"31" "The Girls Battle 2015 Round 3" 2015-03-22 1609.84176101266 1480.57282201505 1560.10128976393 1532.47950576155 1469.35668004448 1533.10523635071 1437.69184778123 1471.52939348625 1439.98253524141 1527.73996152351 1472.49873247646 1466.25010979058 1487.9551186443 1490.6651737794 NA NA NA NA
"32" "The Girls Battle 2015 Round 4" 2015-04-18 1616.28378677072 1474.13079625699 1560.10128976393 1541.20496046128 1469.35668004448 1533.10523635071 1437.69184778123 1471.52939348625 1439.98253524141 1527.73996152351 1472.49873247646 1466.25010979058 1479.22966394457 1490.6651737794 NA NA NA NA
"33" "Kitazawa Dash" 2015-05-23 1603.78906748339 1474.13079625699 1568.12894734659 1541.20496046128 1469.35668004448 1541.56688320258 1428.69033226168 1471.52939348625 1439.98253524141 1540.23468081084 1481.50024799601 1466.25010979058 1470.7680170927 1482.63751619674 NA NA NA NA
"34" "The Girls Battle 2015 Round 5" 2015-06-07 1590.40780380424 1474.13079625699 1568.12894734659 1529.08044479956 1469.35668004448 1548.42771212363 1421.82950334063 1471.52939348625 1439.98253524141 1540.23468081084 1494.88151167516 1478.3746254523 1470.7680170927 1482.63751619674 NA NA NA NA
"35" "The Girls Battle 2015 Round 6" 2015-06-20 1598.66076726282 1484.37559042398 1568.12894734659 1520.82748134099 1469.35668004448 1548.42771212363 1421.82950334063 1471.52939348625 1439.98253524141 1540.23468081084 1494.88151167516 1478.3746254523 1470.7680170927 1472.39272202975 NA NA NA NA
"36" "The Girls Battle 2015 Round 7" 2015-07-04 1603.96941234495 1494.03083243567 1568.12894734659 1520.82748134099 1469.35668004448 1548.42771212363 1416.5208582585 1471.52939348625 1439.98253524141 1540.23468081084 1504.18858175529 1478.3746254523 1461.46094701256 1462.73748001806 NA NA NA NA
"37" "Yokohama Dash" 2015-07-18 1603.96941234495 1494.03083243567 1568.12894734659 1531.62021298053 1469.35668004448 1537.63498048409 1416.5208582585 1471.52939348625 1439.98253524141 1540.23468081084 1513.44696051669 1469.1162466909 1461.46094701256 1462.73748001806 NA NA NA NA
"38" "Erin Aid" 2015-07-23 1610.11445951298 1494.03083243567 1568.12894734659 1531.62021298053 1469.35668004448 1545.75494099013 1416.5208582585 1463.4094329802 1439.98253524141 1540.23468081084 1513.44696051669 1469.1162466909 1461.46094701256 1456.59243285003 NA NA NA NA
"39" "Beer Garden Fight 2015" 2015-08-08 1597.4017851345 1485.10854009857 1568.12894734659 1541.09762124529 1469.35668004448 1545.75494099013 1416.5208582585 1463.4094329802 1439.98253524141 1540.23468081084 1503.96955225193 1469.1162466909 1461.46094701256 1456.59243285003 NA NA NA NA
"40" "The Girls Battle 2015 Round 8" 2015-08-29 1603.72564922446 1485.10854009857 1568.12894734659 1541.09762124529 1469.35668004448 1533.24353025891 1427.80717224839 1457.08556889025 1439.98253524141 1540.23468081084 1503.96955225193 1469.1162466909 1450.17463302267 1469.10384358125 NA NA NA NA
