"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka-Oneesan"
"1" "The First Meeting" 2013-01-30 1510 1490 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "The Second Meeting" 2013-03-25 1519.42498872215 1480.57501127785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "The Third Meeting" 2013-04-26 1519.42498872215 1471.13352556695 1509.44148571089 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "The Fourth Meeting" 2013-06-06 1529.13771946785 1471.96246297616 1499.7287549652 1499.17106259079 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "The Fifth Meeting" 2013-07-11 1538.27734220765 1462.75994402482 1508.93127391653 1490.031439851 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "The Sixth Meeting" 2013-10-18 1546.13737126746 1454.89991496501 1518.38782890418 1480.57488486335 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "Raising An Army" 2013-12-01 1555.34036924762 1466.19075755393 1509.18483092401 1474.09453625012 1488.70915741108 1506.48034861324 1503.24017430662 1496.75982569338 NA NA NA NA NA NA NA NA NA NA NA
"8" "Tokyo Circuit 2014 Round 1" 2014-01-18 1562.8293062976 1458.70182050396 1509.18483092401 1484.5149309406 1478.2887627206 1516.38709160364 1493.33343131621 1496.75982569338 NA NA NA NA NA NA NA NA NA NA NA
"9" "Shibuya Entertainment Fight 1" 2014-01-28 1570.85531084456 1450.34704608895 1509.18483092401 1494.96033217193 1478.2887627206 1524.74186601865 1485.30742676924 1496.75982569338 1489.55459876866 NA NA NA NA NA NA NA NA NA NA
"10" "Tokyo Circuit 2014 Round 2" 2014-02-15 1578.55708395995 1453.70522216131 1518.29790724975 1488.24398002723 1469.17568639486 1531.45821816335 1481.94925069689 1496.75982569338 1481.85282565328 NA NA NA NA NA NA NA NA NA NA
"11" "Shibuya Entertainment Fight 2" 2014-02-27 1585.84600060283 1445.54322180003 1526.45990761103 1488.24398002723 1469.17568639486 1531.45821816335 1474.66033405401 1496.75982569338 1481.85282565328 NA NA NA NA NA NA NA NA NA NA
"12" "Tokyo Circuit 2014 Round 3" 2014-03-15 1582.22184880312 1457.09790329462 1534.97994544044 1480.99567642781 1469.17568639486 1538.70652176277 1466.1402962246 1496.75982569338 1485.47697745299 1488.44531850541 NA NA NA NA NA NA NA NA NA
"13" "Kawasaki First March" 2014-04-05 1570.97588529123 1467.99771409784 1534.97994544044 1480.99567642781 1469.17568639486 1549.95248527466 1457.11178315957 1496.75982569338 1485.47697745299 1477.54550770219 1509.02851306504 NA NA NA NA NA NA NA NA
"14" "Tokyo Circuit 2014 Round 4" 2014-04-26 1578.34974281205 1478.50038371887 1531.60386622222 1474.24351799139 1469.17568639486 1556.70464371108 1460.48786237778 1496.75982569338 1474.97430783195 1470.17165018137 1509.02851306504 NA NA NA NA NA NA NA NA
"15" "Tokyo Circuit 2014 Round 5" 2014-05-24 1581.10662375411 1484.014145603 1542.32507034361 1484.12632558042 1469.17568639486 1545.9834395897 1454.97410049365 1496.75982569338 1472.21742688989 1460.28884259234 1509.02851306504 NA NA NA NA NA NA NA NA
"16" "Shibuya Entertainment Fight 3" 2014-06-04 1577.76291280288 1483.18024696178 1552.4303627834 1494.58288902341 1469.17568639486 1535.87814714991 1455.80799913488 1496.75982569338 1472.21742688989 1463.63255354357 1509.02851306504 1489.54343655701 NA NA NA NA NA NA NA
"17" "Tokyo Circuit 2014 Round 6" 2014-06-22 1584.59124737711 1472.39403630108 1552.4303627834 1494.58288902341 1469.17568639486 1535.87814714991 1466.59420979557 1496.75982569338 1472.21742688989 1456.80421896934 1509.02851306504 1489.54343655701 NA NA NA NA NA NA NA
"18" "Ririko Kendo Aid" 2014-07-11 1591.92181528221 1469.23082846088 1559.74547796248 1488.25647334302 1469.17568639486 1539.0413549901 1472.92062547597 1496.75982569338 1472.21742688989 1449.48910379026 1509.02851306504 1482.2128686519 NA NA NA NA NA NA NA
"19" "Tokyo Circuit 2014 Round 7" 2014-07-19 1597.27477946895 1471.90731055425 1549.1502697857 1498.59435054795 1469.17568639486 1549.63656316689 1470.2441433826 1496.75982569338 1472.21742688989 1444.13613960352 1509.02851306504 1482.2128686519 1489.66212279507 NA NA NA NA NA NA
